id,post_content,event_place,timestamp,sentiment,event_type,severity,hashtags,log_time
1,"I am stuck in traffic in Bellandur area for around 45 mins now. Apparently a truck has toppled and it is blocking the whole main road. There is a huge Traffic jam in the area, avoid it if you can. #BangaloreTraffic",Bellandur,2024-03-13T20:00:00,Negative,Accident,High,#BangaloreTraffic,2024-03-15 16:39:20
3,"Urgent: 🚨Violent incident reported in MG Road, Bangalore. Stay indoors and avoid the area. #BangaloreSafety",MG Road,2024-03-13 15:30:00,Negative,Violence,High,#BangaloreSafety,2024-03-15 17:01:16
4,"🚑 Accident alert! Major collision near Silk Board Junction, Bangalore. Emergency services on the way. #BangaloreTraffic",Silk Board Junction,2024-03-13 16:15:00,Negative,Accident,High,#BangaloreTraffic,2024-03-15 17:01:18
5,"⚠️ Riots reported in Shivajinagar, Bangalore. Please exercise caution and stay away from the affected areas. #BangaloreAlert",Shivajinagar,2024-03-13 17:00:00,Negative,Riot,High,#BangaloreAlert,2024-03-15 17:01:41
6,"🆘 Critical situation at Brigade Road, Bangalore. Violence escalating. Authorities notified. Stay safe, everyone! #BangaloreEmergency",Brigade Road,2024-03-13 17:45:00,Negative,Violence,High,#BangaloreEmergency,2024-03-15 17:01:42
7,"🚦 Traffic chaos at Koramangala, Bangalore due to an accident. Seek alternative routes if possible. #BangaloreTrafficAlert",Koramangala,2024-03-13 18:30:00,Negative,Accident,High,#BangaloreTrafficAlert,2024-03-15 17:02:04
8,"🛑 Attention! Reports of unrest in Commercial Street, Bangalore. Avoid the area for your safety. #BangaloreSecurity",Commercial Street,2024-03-13 19:15:00,Negative,Riot,High,#BangaloreSecurity,2024-03-15 17:02:26
9,"🚧 Road closure near Indiranagar, Bangalore due to an accident. Plan your commute accordingly. #BangaloreTrafficUpdate",Indiranagar,2024-03-13 20:00:00,Negative,Accident,Medium,#BangaloreTrafficUpdate,2024-03-15 17:02:49
10,"🆘 Emergency services dispatched to Cunningham Road, Bangalore. Stay vigilant and follow authorities'' instructions. #BangaloreSafetyAlert",Cunningham Road,2024-03-13 21:00:00,Negative,Violence,High,#BangaloreSafetyAlert,2024-03-15 17:03:11
11,"⚠️ Riots intensifying in Electronic City, Bangalore. Residents advised to stay indoors. #BangaloreEmergency",Electronic City,2024-03-13 21:45:00,Negative,Riot,High,#BangaloreEmergency,2024-03-15 17:03:32
